"filename","parentid","objectid","format","title","creator","translator","date","series","year","number","price","publisher","location","language","rights","rightsstatement","pages","dimensions","source"
"Pasiones_1917.pdf",,"pasiones_1917","application/pdf","Pasiones","Burgos, Carmen de; Colombine (pseud.)",,1917-07-21,"La Novela Corta","II",81,"5 céntimos","Imprenta y Talleres de LA NOVELA CORTA","Madrid","spa","public domain","http://rightsstatements.org/page/NoC-US/1.0/?language=en","24pp","5.25in x 7.75in","personal collection"
"Superhembras_1923.pdf",,"superhembras_1923","application/pdf","Las superhembras","Sardou, V.","Gutiérrez-Roig, Enrique F.; Rios, Luis de los",1923-04-15,"La Novela Teatral","VIII",334,"30 céntimos","Prensa Popular","Madrid","spa","public domain","http://rightsstatements.org/page/NoC-US/1.0/?language=en","32pp","5.375in x 7.75","personal collection"
"Corazonadas_1917.pdf",,"corazonadas_1917","application/pdf","Corazonadas","Flers, Robert de; Caillavet, Gaston de",,1917-09-30,"La Novela Cómica","II",55,"10 céntimos","Imprenta de Cándido Alonso y Compañía","Madrid","spa","public domain","http://rightsstatements.org/page/NoC-US/1.0/?language=en","24pp","5.25in x 7.5in","personal collection"
"Villamaria_1916.pdf",,"villamaria_1916","application/pdf","Villa-María","Burgos, Carmen de; Colombine (pseud.)",,1916-03-04,"La Novela Corta","I",8,"5 céntimos","[Prensa Popular]","Madrid","spa","public domain","http://rightsstatements.org/page/NoC-US/1.0/?language=en","36pp","5.25in x 7.75in","personal collection"
"TodoMenosEse_1918.pdf",,"todomenosese_1918","application/pdf","Todo menos ese","Burgos, Carmen de; Colombine (pseud.)",,1918-04-04,"La Novela Corta","III",117,"10 céntimos","Oficinas y Talleres de Prensa Popular","Madrid","spa","public domain","http://rightsstatements.org/page/NoC-US/1.0/?language=en","24pp","5.375in x 7.75","personal collection"
"HombreNegro_1916.pdf",,"hombrenegro_1916","application/pdf","El hombre negro","Burgos, Carmen de; Colombine (pseud.)",,1916-07-08,"La Novela Corta","I",27,"5 céntimos","Tipografia Antonio Palomino","Madrid","spa","public domain","http://rightsstatements.org/page/NoC-US/1.0/?language=en","32pp","5.25in x 7.75in","personal collection"
"TriunfoDeAmor_1919.pdf",,"triunfodeamor_1919","application/pdf","Triunfo de Amor","Casanova, Sofía",,1919-07-26,"La Novela Corta","IV",186,"10 céntimos","Oficinas y Talleres de Prensa Popular","Madrid","spa","public domain","http://rightsstatements.org/page/NoC-US/1.0/?language=en","16pp","5.25in x 7.625in","personal collection"
"Clavileno_1917.pdf",,"clavileno_1917","application/pdf","Clavileño","Pardo Bazán, La Condesa de; Pardo Bazán, Emilia",,1917-08-25,"La Novela Corta","II",86,"5 céntimos","[Prensa Popular]","Madrid","spa","public domain","http://rightsstatements.org/page/NoC-US/1.0/?language=en","24pp","5.25in x 7.75in","personal collection"
"UltimaFada_1916.pdf",,"ultimafada_1916","application/pdf","La última fada","Pardo Bazán, La Condesa de; Pardo Bazán, Emilia",,1916-11-18,"La Novela Corta","I",46,"5 céntimos","Imprenta y Talleres de La Novela Corta","Madrid","spa","public domain","http://rightsstatements.org/page/NoC-US/1.0/?language=en","32pp","5in x 7.5in","personal collection"
,,"ultimafada_multiple","multiple","La última fada","Pardo Bazán, La Condesa de; Pardo Bazán, Emilia",,1916-11-18,"La Novela Corta","I",46,"5 céntimos","Imprenta y Talleres de La Novela Corta","Madrid","spa","public domain","http://rightsstatements.org/page/NoC-US/1.0/?language=en","32pp","5in x 7.5in","personal collection"
"UltimaFada_cover.JPG","ultimafada_multiple","ultimafada_cover_mult","image/jpeg","La última fada, cover",,,,,,,,,,,,,,,
"UltimaFada_adv1.JPG","ultimafada_multiple","ultimafada_adv1_mult","image/jpeg","La última fada, advertisement page",,,,,,,,,,,,,,,
"UltimaFada_adv2.JPG","ultimafada_multiple","ultimafada_adv2_mult","image/jpeg","La última fada, advertisement page",,,,,,,,,,,,,,,
"UltimaFada_adv3.JPG","ultimafada_multiple","ultimafada_adv3_mult","image/jpeg","La última fada, advertisement page",,,,,,,,,,,,,,,
,,"ultimafada_compound","compound_object","La última fada","Pardo Bazán, La Condesa de; Pardo Bazán, Emilia",,1916-11-18,"La Novela Corta","I",46,"5 céntimos","Imprenta y Talleres de La Novela Corta","Madrid","spa","public domain","http://rightsstatements.org/page/NoC-US/1.0/?language=en","32pp","5in x 7.5in","personal collection"
"cUltimaFada_cover.JPG","ultimafada_compound","ultimafada_cover_compound","image/jpeg","La última fada, cover","Pardo Bazán, La Condesa de; Pardo Bazán, Emilia",,1916-11-18,"La Novela Corta","I",46,"5 céntimos","Imprenta y Talleres de La Novela Corta","Madrid","spa","public domain","http://rightsstatements.org/page/NoC-US/1.0/?language=en","32pp","5in x 7.5in","personal collection"
"cUltimaFada_adv1.JPG","ultimafada_compound","ultimafada_adv1_compound","image/jpeg","La última fada, advertisement page","Pardo Bazán, La Condesa de; Pardo Bazán, Emilia",,1916-11-18,"La Novela Corta","I",46,"5 céntimos","Imprenta y Talleres de La Novela Corta","Madrid","spa","public domain","http://rightsstatements.org/page/NoC-US/1.0/?language=en","32pp","5in x 7.5in","personal collection"
"cUltimaFada_adv2.JPG","ultimafada_compound","ultimafada_adv2_compound","image/jpeg","La última fada, advertisement page","Pardo Bazán, La Condesa de; Pardo Bazán, Emilia",,1916-11-18,"La Novela Corta","I",46,"5 céntimos","Imprenta y Talleres de La Novela Corta","Madrid","spa","public domain","http://rightsstatements.org/page/NoC-US/1.0/?language=en","32pp","5in x 7.5in","personal collection"
"cUltimaFada_adv3.JPG","ultimafada_compound","ultimafada_adv3_compound","image/jpeg","La última fada, advertisement page","Pardo Bazán, La Condesa de; Pardo Bazán, Emilia",,1916-11-18,"La Novela Corta","I",46,"5 céntimos","Imprenta y Talleres de La Novela Corta","Madrid","spa","public domain","http://rightsstatements.org/page/NoC-US/1.0/?language=en","32pp","5in x 7.5in","personal collection"
